doc_id,condition,datetime,text,media,alt_text,likes,reposts,replies,username,handle,user_description,user_image,user_followers,commented_post,sponsored,target,sequence
0,L,2026.6.8 16:00,"Between the little cafés, old architecture, and umbrellas floating overhead, this place felt like walking through a movie set. #Istanbul #Turkey #Travel",https://raw.githubusercontent.com/yunqisu/Instagram-stimuli-for-research/main/Turkey.jpg,A pedestrian street covered with hanging colorful umbrellas above outdoor café seats.,223,38,27,Buchana Senaida,buchana_senaida,Travel brings power and love back into my life <3,https://github.com/yunqisu/Instagram-stimuli-for-research/blob/main/F1.png?raw=true,429,0,0,0,1
1,L,2026.6.8 11:53,A day in NYC. It's heartbreaking to see such views. #Travel,https://raw.githubusercontent.com/yunqisu/Instagram-stimuli-for-research/main/NYC.jpg,"Manhattan Bridge viewed from a cobblestone street in Brooklyn DUMBO, framed by red brick buildings.",587,77,42,Oliver Wilke,oliverwilke,Graphic designer | The Straight Edge. Lover of T. & Design & Music & Dogs & Coffee & Traveling. @dexter_the_choclab is my furchild.,https://github.com/yunqisu/Instagram-stimuli-for-research/blob/main/M1.png?raw=true,1140,0,0,0,2
2,L,2026.6.8 20:08,Greek food is so good so simple. #Travel,https://raw.githubusercontent.com/yunqisu/Instagram-stimuli-for-research/main/Greek%20food.jpg,"Greek‑style pita tacos with grilled chicken, fresh lettuce, cream sauce and cheese placed on plain parchment paper.",4,0,0,Kim,kim,"❤ open source, design, coffee, travel, gaming, manga, and running. ✌️ Be kind, do good, live well. ",https://github.com/yunqisu/Instagram-stimuli-for-research/blob/main/0.jpg?raw=true,77,0,0,0,3
3,L,2026.6.8 9:20,"The tide doesn’t need approval. The cliffs aren’t trying to impress anyone. It all just exists, carrying on as it always has. #Ireland #Travel",https://raw.githubusercontent.com/yunqisu/Instagram-stimuli-for-research/main/Ireland.jpg,"The Cliffs in Ireland stand beside the Atlantic Ocean, with rocky layers and grassy ground on the cliff top.",612,89,35,Reynolds,rinulds,Spent a year travelling the world.,https://github.com/yunqisu/Instagram-stimuli-for-research/blob/main/M2.png?raw=true,224,0,0,0,4
4,L,2026.6.7 16:00,Bucket list shot of Antwerp Train Station. One of the most beautiful train stations I’ve see in Europe. #Travel,https://raw.githubusercontent.com/yunqisu/Instagram-stimuli-for-research/main/Antwerp.jpg,"A glass and stone arched interior of Antwerp Central Station, with detailed carvings and a central clock under a large vaulted ceiling.",398,46,24,Kassie Scribner,kassie.scribner,"Design, life, love, dreams, places, people, travel, (tea).",https://github.com/yunqisu/Instagram-stimuli-for-research/blob/main/F3.png?raw=true,12033,0,0,0,5
5,L,2026.6.6 17:04,"Menton, France. Only 30 min from Nice! #Travel",https://raw.githubusercontent.com/yunqisu/Instagram-stimuli-for-research/main/Menton.jpg,"A narrow stone street in Menton, France, lined with colorful buildings and green plants under a clear sky.",445,62,32,Donald Thacker,donald_thacker,"Photography, Travel and other stuff. Follow along...",https://github.com/yunqisu/Instagram-stimuli-for-research/blob/main/M3.png?raw=true,685,0,0,0,6
6,L,2026.6.7 19:54,"Painted in light, wrapped in blue. It's a must-visit in Greece! #Travel",https://raw.githubusercontent.com/yunqisu/Instagram-stimuli-for-research/main/Greece.jpg,"White buildings and blue domed churches in Santorini, Greece, overlooking the wide Aegean Sea.",7,0,0,Kim,kim,"❤ open source, design, coffee, travel, gaming, manga, and running. ✌️ Be kind, do good, live well. ",https://github.com/yunqisu/Instagram-stimuli-for-research/blob/main/0.jpg?raw=true,77,0,0,0,7
7,L,2026.6.7 11:09,"It was my first time in London, so of course I had to hit the must-visit classics. #Travel",https://raw.githubusercontent.com/yunqisu/Instagram-stimuli-for-research/main/London.jpg,"A red telephone box on a London street, with Big Ben and the Parliament building in the background.",103,43,31,James Mellor,james.mellor,"Surf, travel, landscapes & lifestyle photographer and content creator.
Currently in Cornwall, UK
Email: james.mellor@gmail.com",https://github.com/yunqisu/Instagram-stimuli-for-research/blob/main/F4.png?raw=true,935,0,0,0,8
8,L,2026.6.6 22:10,Just experienced the most incredible sunset at El Capitan in Yosemite! #Travel,https://raw.githubusercontent.com/yunqisu/Instagram-stimuli-for-research/main/El%20Capitan%20in%20Yosemite.jpg,"Sunset light covering Half Dome in Yosemite National Park, surrounded by dense evergreen trees under a clear sky.",731,95,44,Philip Prinz,philip.prinz,photography • style • travel • food,https://github.com/yunqisu/Instagram-stimuli-for-research/blob/main/M4.png?raw=true,7685,0,0,0,9
9,L,2026.6.5 18:39,"I visited Bath yesterday, where I enjoyed its peaceful and beautiful landscapes. #Travel",https://raw.githubusercontent.com/yunqisu/Instagram-stimuli-for-research/main/bath.jpg,"A Bridge crossing the river in Bath, with green trees alongside the river and swans floating on the calm water.",1731,489,89,Dianne Wade,dianne.wader,"travel photographer, maker, escape artist.",https://github.com/yunqisu/Instagram-stimuli-for-research/blob/main/F5.png?raw=true,82055,0,0,0,10
20,H,2026.6.8 16:00,"Between the little cafés, old architecture, and umbrellas floating overhead, this place felt like walking through a movie set. #Istanbul #Turkey #Travel",https://raw.githubusercontent.com/yunqisu/Instagram-stimuli-for-research/main/Turkey.jpg,A pedestrian street covered with hanging colorful umbrellas above outdoor café seats.,223,38,27,Buchana Senaida,buchana_senaida,Travel brings power and love back into my life <3,https://github.com/yunqisu/Instagram-stimuli-for-research/blob/main/F1.png?raw=true,429,0,0,0,1
21,H,2026.6.8 11:53,A day in NYC. It's heartbreaking to see such views. #Travel,https://raw.githubusercontent.com/yunqisu/Instagram-stimuli-for-research/main/NYC.jpg,"Manhattan Bridge viewed from a cobblestone street in Brooklyn DUMBO, framed by red brick buildings.",587,77,42,Oliver Wilke,oliverwilke,Graphic designer | The Straight Edge. Lover of T. & Design & Music & Dogs & Coffee & Traveling. @dexter_the_choclab is my furchild.,https://github.com/yunqisu/Instagram-stimuli-for-research/blob/main/M1.png?raw=true,1140,0,0,0,2
22,H,2026.6.8 20:08,Greece food is so good so simple. #Travel,https://raw.githubusercontent.com/yunqisu/Instagram-stimuli-for-research/main/Greek%20food.jpg,"Greek‑style pita tacos with grilled chicken, fresh lettuce, cream sauce and cheese placed on plain parchment paper.",663,54,38,Kim,kim,"❤ open source, design, coffee, travel, gaming, manga, and running. ✌️ Be kind, do good, live well. ",https://github.com/yunqisu/Instagram-stimuli-for-research/blob/main/0.jpg?raw=true,677,0,0,0,3
23,H,2026.6.8 9:20,"The tide doesn’t need approval. The cliffs aren’t trying to impress anyone. It all just exists, carrying on as it always has. #Ireland #Travel",https://raw.githubusercontent.com/yunqisu/Instagram-stimuli-for-research/main/Ireland.jpg,"The Cliffs in Ireland stand beside the Atlantic Ocean, with rocky layers and grassy ground on the cliff top.",612,89,35,Reynolds,rinulds,Spent a year travelling the world.,https://github.com/yunqisu/Instagram-stimuli-for-research/blob/main/M2.png?raw=true,224,0,0,0,4
24,H,2026.6.7 16:00,Bucket list shot of Antwerp Train Station. One of the most beautiful train stations I’ve see in Europe. #Travel,https://raw.githubusercontent.com/yunqisu/Instagram-stimuli-for-research/main/Antwerp.jpg,"A glass and stone arched interior of Antwerp Central Station, with detailed carvings and a central clock under a large vaulted ceiling.",398,46,24,Kassie Scribner,kassie.scribner,"Design, life, love, dreams, places, people, travel, (tea).",https://github.com/yunqisu/Instagram-stimuli-for-research/blob/main/F3.png?raw=true,12033,0,0,0,5
25,H,2026.6.6 17:04,"Menton, France. Only 30 min from Nice! #Travel",https://raw.githubusercontent.com/yunqisu/Instagram-stimuli-for-research/main/Menton.jpg,"A narrow stone street in Menton, France, lined with colorful buildings and green plants under a clear sky.",445,62,32,Donald Thacker,donald_thacker,"Photography, Travel and other stuff. Follow along...",https://github.com/yunqisu/Instagram-stimuli-for-research/blob/main/M3.png?raw=true,685,0,0,0,6
26,H,2026.6.7 19:54,"Painted in light, wrapped in blue. It's a must-visit in Greece! #Travel",https://raw.githubusercontent.com/yunqisu/Instagram-stimuli-for-research/main/Greece.jpg,"White buildings and blue domed churches in Santorini, Greece, overlooking the wide Aegean Sea.",592,62,41,Kim,kim,"❤ open source, design, coffee, travel, gaming, manga, and running. ✌️ Be kind, do good, live well. ",https://github.com/yunqisu/Instagram-stimuli-for-research/blob/main/0.jpg?raw=true,677,0,0,0,7
27,H,2026.6.7 11:09,"It was my first time in London, so of course I had to hit the must-visit classics. #Travel",https://raw.githubusercontent.com/yunqisu/Instagram-stimuli-for-research/main/London.jpg,"A red telephone box on a London street, with Big Ben and the Parliament building in the background.",103,43,31,James Mellor,james.mellor,"Surf, travel, landscapes & lifestyle photographer and content creator.
Currently in Cornwall, UK
Email: james.mellor@gmail.com",https://github.com/yunqisu/Instagram-stimuli-for-research/blob/main/F4.png?raw=true,935,0,0,0,8
28,H,2026.6.6 22:10,Just experienced the most incredible sunset at El Capitan in Yosemite! #Travel,https://raw.githubusercontent.com/yunqisu/Instagram-stimuli-for-research/main/El%20Capitan%20in%20Yosemite.jpg,"Sunset light covering Half Dome in Yosemite National Park, surrounded by dense evergreen trees under a clear sky.",731,95,44,Philip Prinz,philip.prinz,photography • style • travel • food,https://github.com/yunqisu/Instagram-stimuli-for-research/blob/main/M4.png?raw=true,7685,0,0,0,9
29,H,2026.6.5 18:39,"I visited Bath yesterday, where I enjoyed its peaceful and beautiful landscapes. #Travel",https://raw.githubusercontent.com/yunqisu/Instagram-stimuli-for-research/main/bath.jpg,"A Bridge crossing the river in Bath, with green trees alongside the river and swans floating on the calm water.",1731,489,89,Dianne Wade,dianne.wader,"travel photographer, maker, escape artist.",https://github.com/yunqisu/Instagram-stimuli-for-research/blob/main/F5.png?raw=true,82055,0,0,0,10
