doc_id,condition,datetime,text,media,alt_text,likes,reposts,replies,username,handle,user_description,user_image,user_followers,commented_post,sponsored,target,sequence
0,A,2026/7/15 17:49,"Between the little cafés, old architecture, and umbrellas floating overhead, this place felt like walking through a movie set. #Istanbul #turkey #travel",https://github.com/simulatedfeed/Ins/blob/main/Turkey.jpg?raw=true,A pedestrian street covered with hanging colorful umbrellas above outdoor cafés seats.,43,4,6,Ethan Lim,ethan_lim,"Photography, Travel and other stuff. Follow along...",https://github.com/simulatedfeed/Ins/blob/main/M3.png?raw=true,753,0,0,0,
1,A,2026/7/14 21:53,Just experienced the most incredible sunset at El Capitan in Yosemite! #travel,https://github.com/simulatedfeed/Ins/blob/main/El%20Capitan%20in%20Yosemite.jpg?raw=true,"Sunset light covering Half Dome in Yosemite National Park, surrounded by dense evergreen trees under a clear sky.",31,3,4,Isaac Pannell,isaac.pannell,"Design, life, love, dreams, places, people, travel.",https://github.com/simulatedfeed/Ins/blob/main/M1.png?raw=true,596,0,0,0,
2,A,2026/7/14 18:14,"Painted in light, wrapped in blue. It's a must-visit in Greece! #travel",https://github.com/simulatedfeed/Ins/blob/main/Greece1.jpg?raw=true,"White hillside buildings with vivid blue domes overlook a quiet sea, with winding stone steps and rocky cliffs in Santorini.",3,0,0,yourusername,yourusername,,https://github.com/simulatedfeed/Ins/blob/main/0.jpg?raw=true,,0,0,0,3
3,A,2026/7/15 10:40,Don’t miss this spot if you are visiting the French Riviera! Menton is located only 30 min from Nice ✨ #menton #travel,https://github.com/simulatedfeed/Ins/blob/main/Menton.jpg?raw=true,"A narrow stone street in Menton, France, lined with colorful buildings and green plants under a clear sky.",289,21,17,Kassie Scribner,kassie_scribner,"Content Creator | Travel, Fashion & Lifestyle",https://github.com/simulatedfeed/Ins/blob/main/F3.jpg?raw=true,10200,0,0,0,
4,A,2026/7/15 12:02,"The tide doesn’t need approval. The cliffs aren’t trying to impress anyone. It all just exists, carrying on as it always has. #Ireland #travel",https://github.com/simulatedfeed/Ins/blob/main/Ireland.jpg?raw=true,"The Cliffs in Ireland stand beside the Atlantic Ocean, with rocky layers and grassy ground on the cliff top.",54,6,5,Dianne Wade,dianne.wader,photography | style | travel  | food,https://github.com/simulatedfeed/Ins/blob/main/F1.png?raw=true,892,0,0,0,
5,A,2026/7/14 20:08,Greek food is so good so simple. #travel,https://github.com/simulatedfeed/Ins/blob/main/Greek%20food.jpg?raw=true,"Greek-style pita tacos with grilled chicken, fresh lettuce, cream sauce and cheese placed on plain parchment paper.",1,0,0,yourusername,yourusername,,https://github.com/simulatedfeed/Ins/blob/main/0.jpg?raw=true,,0,0,0,6
6,A,2026/7/13 19:37,"It was my first time in London, so of course I had to hit the must-visit classics. #travel",https://github.com/simulatedfeed/Ins/blob/main/London.jpg?raw=true,"A red telephone box on a London street, with Big Ben and the Parliament building in the background.",27,3,3,Sophia Grace,sophiagrace,"Fashion, travels, music, fun... A lot of fun. ✌",https://github.com/simulatedfeed/Ins/blob/main/F2.png?raw=true,429,0,0,0,
7,A,2026/7/14 16:25,A day in NYC. It's heartbreaking to see such views. #travel,https://github.com/simulatedfeed/Ins/blob/main/NYC.jpg?raw=true,"Manhattan Bridge spanning the East River, viewed from DUMBO Brooklyn’s riverside park, with people lingering among tall riverfront grasses in the foreground.",1612,34,89,Joseph,joseph,Digital Creator | Lover of Design & Music & Dogs & Traveling. @dexter_the_choclab is my furchild.,https://github.com/simulatedfeed/Ins/blob/main/M2.png?raw=true,52407,0,0,0,
8,B,2026/7/15 17:49,"Between the little cafés, old architecture, and umbrellas floating overhead, this place felt like walking through a movie set. #Istanbul #turkey #travel",https://github.com/simulatedfeed/Ins/blob/main/Turkey.jpg?raw=true,A pedestrian street covered with hanging colorful umbrellas above outdoor cafés seats.,43,4,6,Ethan Lim,ethan_lim,"Photography, Travel and other stuff. Follow along...",https://github.com/simulatedfeed/Ins/blob/main/M3.png?raw=true,753,0,0,0,
9,B,2026/7/14 21:53,Just experienced the most incredible sunset at El Capitan in Yosemite! #travel,https://github.com/simulatedfeed/Ins/blob/main/El%20Capitan%20in%20Yosemite.jpg?raw=true,"Sunset light covering Half Dome in Yosemite National Park, surrounded by dense evergreen trees under a clear sky.",31,3,4,Isaac Pannell,isaac.pannell,"Design, life, love, dreams, places, people, travel.",https://github.com/simulatedfeed/Ins/blob/main/M1.png?raw=true,596,0,0,0,
10,B,2026/7/14 18:14,"Painted in light, wrapped in blue. It's a must-visit in Greece! #travel",https://github.com/simulatedfeed/Ins/blob/main/Greece1.jpg?raw=true,"White hillside buildings with vivid blue domes overlook a quiet sea, with winding stone steps and rocky cliffs in Santorini.",87,10,9,yourusername,yourusername,,https://github.com/simulatedfeed/Ins/blob/main/0.jpg?raw=true,,0,0,0,3
11,B,2026/7/15 10:40,Don’t miss this spot if you are visiting the French Riviera! Menton is located only 30 min from Nice ✨ #menton #travel,https://github.com/simulatedfeed/Ins/blob/main/Menton.jpg?raw=true,"A narrow stone street in Menton, France, lined with colorful buildings and green plants under a clear sky.",289,21,17,Kassie Scribner,kassie_scribner,"Content Creator | Travel, Fashion & Lifestyle",https://github.com/simulatedfeed/Ins/blob/main/F3.jpg?raw=true,10200,0,0,0,
12,B,2026/7/15 12:02,"The tide doesn’t need approval. The cliffs aren’t trying to impress anyone. It all just exists, carrying on as it always has. #Ireland #travel",https://github.com/simulatedfeed/Ins/blob/main/Ireland.jpg?raw=true,"The Cliffs in Ireland stand beside the Atlantic Ocean, with rocky layers and grassy ground on the cliff top.",54,6,5,Dianne Wade,dianne.wader,photography | style | travel  | food,https://github.com/simulatedfeed/Ins/blob/main/F1.png?raw=true,892,0,0,0,
13,B,2026/7/14 20:08,Greek food is so good so simple. #travel,https://github.com/simulatedfeed/Ins/blob/main/Greek%20food.jpg?raw=true,"Greek-style pita tacos with grilled chicken, fresh lettuce, cream sauce and cheese placed on plain parchment paper.",78,8,7,yourusername,yourusername,,https://github.com/simulatedfeed/Ins/blob/main/0.jpg?raw=true,,0,0,0,6
14,B,2026/7/13 19:37,"It was my first time in London, so of course I had to hit the must-visit classics. #travel",https://github.com/simulatedfeed/Ins/blob/main/London.jpg?raw=true,"A red telephone box on a London street, with Big Ben and the Parliament building in the background.",27,3,3,Sophia Grace,sophiagrace,"Fashion, travels, music, fun... A lot of fun. ✌",https://github.com/simulatedfeed/Ins/blob/main/F2.png?raw=true,429,0,0,0,
15,B,2026/7/14 16:25,A day in NYC. It's heartbreaking to see such views. #travel,https://github.com/simulatedfeed/Ins/blob/main/NYC.jpg?raw=true,"Manhattan Bridge spanning the East River, viewed from DUMBO Brooklyn’s riverside park, with people lingering among tall riverfront grasses in the foreground.",1612,34,89,Joseph,joseph,Digital Creator | Lover of Design & Music & Dogs & Traveling. @dexter_the_choclab is my furchild.,https://github.com/simulatedfeed/Ins/blob/main/M2.png?raw=true,52407,0,0,0,
